Date,Total flow,Cum. Total flow, Condensate, Water, CGR, WGR, Avg. Pressure
22/05/2004,10.7415,10.7415,0,0,0,0,0
23/05/2004,23.624,34.3655,8.05,3.2,0.34,0.14,2242
24/05/2004,24.2405,58.606,8.12,5.03,0.33,0.21,2283
25/05/2004,25.1527,83.7587,8.01,3.1,0.32,0.12,2323
26/05/2004,24.244,108.0027,5.58,1.43,0.23,0.06,2328.5
27/05/2004,25.1299,133.1326,5.62,1.78,0.22,0.07,2320
28/05/2004,24.9609,158.0935,5.6,1.35,0.22,0.05,2299
29/05/2004,23.1459,181.2394,5.35,1.1,0.23,0.05,2304
30/05/2004,18.7684,200.0078,4.95,1.2,0.26,0.06,2317.5
31/05/2004,20.0319,220.0397,4.9,1.4,0.24,0.07,2302.5
1/6/2004,19.5746,239.6143,4.89,2.44,0.25,0.12,2267.5
2/6/2004,20.3271,259.9414,5.15,2.65,0.25,0.13,2217.5
3/6/2004,21.4355,281.3769,5.65,1.2,0.26,0.06,2222.5
4/6/2004,20.8874,302.2643,5.45,1.2,0.26,0.06,2217.5
5/6/2004,20.4499,322.7142,5.6,1.1,0.27,0.05,2225
6/6/2004,20.8195,343.5337,6.1,1.5,0.29,0.07,2205
7/6/2004,21.9043,365.438,9.9,1.6,0.45,0.07,2182.5
8/6/2004,21.3658,386.8038,7.9,1.5,0.37,0.07,2188.5
9/6/2004,21.2316,408.0354,9.1,1.5,0.43,0.07,2192.5
10/6/2004,21.2729,429.3083,9.1,1.5,0.43,0.07,2194
11/6/2004,21.0666,450.3749,8.06,1.5,0.38,0.07,2196.5
12/6/2004,20.4413,470.8162,8.05,2,0.39,0.1,2190
13/06/2004,20.3913,491.2075,8.45,1.5,0.41,0.07,2193.5
14/06/2004,20.2106,511.4181,8.5,1.2,0.42,0.06,2191.5
15/06/2004,20.1679,531.586,8.5,2.2,0.42,0.11,2196.5
16/06/2004,20.4759,552.0619,8.75,2,0.43,0.1,2192
17/06/2004,20.9915,573.0534,9.5,1.1,0.45,0.05,2205
18/06/2004,20.627,593.6804,9.5,1.2,0.46,0.06,2212.5
19/06/2004,20.7484,614.4288,9.2,1.1,0.44,0.05,2201.5
20/06/2004,20.798,635.2268,9.5,1.2,0.46,0.06,2195.5
21/06/2004,20.7345,655.9613,10,1.2,0.48,0.06,2197
22/06/2004,20.8239,676.7852,11,2,0.53,0.1,2196.5
23/06/2004,20.6892,697.4744,9.5,1.7,0.46,0.08,2197
24/06/2004,20.7763,718.2507,9.95,1.25,0.48,0.06,2206.5
25/06/2004,20.2896,738.5403,9.5,1.1,0.47,0.05,2208
26/06/2004,20.4204,758.9607,9.5,2,0.47,0.1,2208.5
27/06/2004,20.4125,779.3732,9.38,2.14,0.46,0.1,2210
28/06/2004,20.5332,799.9064,10.05,1.82,0.49,0.09,2206.5
29/06/2004,20.2549,820.1613,9.67,1.42,0.48,0.07,2210
30/06/2004,20.3518,840.5131,9.66,1.96,0.47,0.1,2201.5
1/7/2004,20.9866,861.4997,9.63,2.03,0.46,0.1,2197.5
2/7/2004,20.7271,882.2268,9.24,2.27,0.45,0.11,2194
3/7/2004,20.7563,902.9831,9.19,1.99,0.44,0.1,2192
4/7/2004,20.8081,923.7912,9.73,2.03,0.47,0.1,2192
5/7/2004,20.5528,944.344,9.95,1.59,0.48,0.08,2204.5
6/7/2004,20.7554,965.0994,9.02,0.87,0.43,0.04,2197
7/7/2004,20.685,985.7844,9.09,2.31,0.44,0.11,2198
8/7/2004,20.7498,1006.5342,8.8,2.53,0.42,0.12,2204.5
9/7/2004,20.6237,1027.1579,8.06,2.36,0.39,0.11,2193.5
10/7/2004,20.6618,1047.8197,8.86,2.07,0.43,0.1,2207
11/7/2004,20.5206,1068.3403,8.82,1.44,0.43,0.07,2203
12/7/2004,20.7975,1089.1378,9.15,2.16,0.44,0.1,2200.5
13/07/2004,20.5138,1109.6516,9.19,1.25,0.45,0.06,2198.5
14/07/2004,20.626,1130.2776,9.27,1.67,0.45,0.08,2197
15/07/2004,20.8118,1151.0894,9.21,1.9,0.44,0.09,2199.5
16/07/2004,20.8253,1171.9147,9.12,2.55,0.44,0.12,2195
17/07/2004,20.8102,1192.7249,9.21,1.55,0.44,0.07,2200
18/07/2004,20.573,1213.2979,9.27,1.59,0.45,0.08,2203.5
19/07/2004,20.64,1233.9379,9.15,2.17,0.44,0.11,2195
20/07/2004,20.7892,1254.7271,8.97,2.03,0.43,0.1,2194.5
21/07/2004,20.8912,1275.6183,9.37,1.89,0.45,0.09,2195
22/07/2004,20.6192,1296.2375,9.03,1.31,0.44,0.06,2200
23/07/2004,20.5682,1316.8057,9.44,1.45,0.46,0.07,2197
24/07/2004,20.736,1337.5417,9.67,1.61,0.47,0.08,2195.5
25/07/2004,20.7436,1358.2853,10.06,1.82,0.48,0.09,2195
26/07/2004,20.6555,1378.9408,10.17,1.5,0.49,0.07,2195
27/07/2004,20.6485,1399.5893,9.86,1.67,0.48,0.08,2192.5
28/07/2004,20.8541,1420.4434,9.33,1.93,0.45,0.09,2195
29/07/2004,21.0242,1441.4676,9.72,1.8,0.46,0.09,2193.5
30/07/2004,20.3053,1461.7729,8.83,1.22,0.43,0.06,2208
31/07/2004,20.5599,1482.3328,9.9,1.74,0.48,0.08,2206
1/8/2004,20.6448,1502.9776,10.65,1.92,0.52,0.09,2206.5
2/8/2004,20.7294,1523.707,9.91,1.71,0.48,0.08,2203.5
3/8/2004,20.6333,1544.3403,9.58,1.62,0.46,0.08,2203
